"","edgeuid","median_average_speed"
"839",153328282,1.89
"840",153328283,2.6
"841",153328284,1.89
"842",153328285,1.52
"843",153328286,3.04
"844",153328287,12.73
"845",153328289,6.82
"846",153328298,2.66
"847",153328303,0.83
"848",153328305,0.56
"849",153328308,1.79
"850",153328316,3.75
"851",153328317,4.175
"852",153328319,10.345
"853",153328322,11.945
"854",153328324,12.05
"855",153328325,7.415
"856",153328326,5.125
"857",153328327,6.96
"858",153328345,7.045
"859",153328349,6.86
"860",153328354,11.7
"861",153328355,6.03
"862",153328356,6.25
"863",153328359,7.35
"864",153328361,6.975
"865",153328368,6.62
"866",153328370,7.21
"867",153328373,10.205
"868",153328374,10.9
"869",153328375,6.41
"870",153328376,9.23
"871",153328377,7.235
"872",153328378,5.28
"873",153328379,5.445
"874",153328381,9.02
"875",153328383,5.43
"876",153328384,3.77
"877",153328385,4.95
"878",153328387,6.2
"879",153328388,9.04
"880",153328391,6.11
"881",153328393,5.78
"882",153328407,8.47
"883",153328408,3.61
"884",153328413,5.63
"885",153328416,3.98
"886",153328419,7.2
"887",153328421,6.85
"888",153328426,8.835
"889",153328427,8.505
"890",153328429,5.51
"891",153328437,5.74
"892",153328474,5.02
"893",153328475,6.18
"894",153328476,5.75
"895",153328481,5.55
"896",153328482,5.995
"897",153328484,7.085
"898",153328485,6.51
"899",153328488,2.51
"900",153328489,6.36
"901",153328490,8.79
"902",153328494,8.57
"903",153328495,1.69
"904",153328505,7.715
"905",153328506,8.26
"906",153328508,7
"907",153328510,7.94
"908",153328512,11.88
"909",153328514,5.38
"910",153328517,5.21
"911",153328520,4.96
"912",153328524,4.75
"913",153328525,5.26
"914",153328533,4.53
"915",153328536,5.09
"916",153328537,4.65
"917",153328538,5.5
"918",153328541,4.24
"919",153328543,3.385
"920",153328545,8.24
"921",153328549,6.615
"922",153328563,9.82
"923",153328580,6.43
"924",153328588,9.29
"925",153328589,8.14
"926",153328592,4.7
"927",153328598,7.3
"928",153328609,6.66
"929",153328611,6.91
"930",153328618,9.62
"931",153328624,9.66
"932",153328629,9.585
"933",153328652,9.52
"934",153328653,6.53
"935",153328655,6.71
"936",153328657,6.41
"937",153328663,6.56
"938",153328664,6.72
"939",153328666,5.86
"940",153328679,6.55
"941",153328691,5.515
"942",153328693,6.79
"943",153328696,6.73
"944",153328698,6.32
"945",153328700,5.28
"946",153328737,6.66
"947",153328743,5.77
"948",153328744,6.07
"949",153328748,6.09
"950",153328753,5.33
"951",153328755,6.47
"952",153328760,7.295
"953",153328762,7.63
"954",153328769,3.63
"955",153328780,6.63
