"","edgeuid","year","total_trips"
"691",153312444,2019,5
"692",153312445,2019,5
"693",153312447,2019,5
"694",153312447,2021,5
"695",153312448,2019,5
"696",153312451,2019,5
"697",153312452,2019,10
"698",153312457,2019,5
"699",153312458,2019,5
"700",153312461,2019,5
"701",153312463,2019,5
"702",153312464,2019,5
"703",153312465,2019,5
"704",153312468,2019,10
"705",153312470,2019,10
"706",153312470,2021,5
"707",153312471,2019,10
"708",153312472,2019,5
"709",153312473,2019,5
"710",153312474,2019,15
"711",153312475,2019,25
"712",153312478,2019,10
"713",153312479,2019,10
"714",153312480,2019,10
"715",153312481,2019,10
"716",153312481,2021,5
"717",153312484,2019,10
"718",153312487,2019,10
"719",153312488,2019,10
"720",153312489,2019,10
"721",153312491,2019,30
"722",153312491,2021,25
"723",153312492,2019,5
"724",153312493,2019,15
"725",153312495,2021,5
"726",153312496,2019,5
"727",153312503,2019,15
"728",153312515,2019,5
"729",153312516,2019,10
"730",153312517,2019,10
"731",153312518,2019,10
"732",153312519,2019,10
"733",153312520,2019,10
"734",153312524,2019,10
"735",153312526,2019,10
"736",153312527,2019,20
"737",153312528,2019,5
"738",153312529,2019,15
"739",153312533,2019,20
"740",153312534,2019,15
"741",153312535,2019,5
"742",153312537,2019,10
"743",153312538,2019,10
"744",153312539,2019,10
"745",153312540,2019,20
"746",153312544,2019,35
"747",153312545,2019,5
"748",153312552,2019,10
"749",153312553,2019,30
"750",153312563,2019,5
"751",153312565,2019,10
"752",153312566,2019,10
"753",153312567,2019,10
"754",153312567,2021,5
"755",153312569,2019,5
"756",153312570,2019,10
"757",153312571,2019,15
"758",153312571,2021,5
"759",153312572,2019,20
"760",153312573,2019,15
"761",153312573,2021,10
"762",153312574,2019,15
"763",153312575,2019,15
"764",153312575,2021,10
"765",153312576,2019,30
"766",153312577,2019,15
"767",153312578,2019,15
"768",153312579,2019,5
"769",153312580,2019,10
"770",153312581,2019,15
"771",153312582,2019,10
"772",153312583,2019,5
"773",153312584,2019,15
"774",153312585,2019,10
"775",153312587,2019,30
"776",153319428,2021,5
"777",153319564,2019,5
