"","edgeuid","weekday","total_trips"
"12764",153779964,"Tue",20
"12765",153779964,"Wed",30
"12766",153779964,"Thu",30
"12767",153779964,"Fri",60
"12768",153779964,"Sat",105
"12769",153779965,"Sun",185
"12770",153779965,"Mon",30
"12771",153779965,"Tue",20
"12772",153779965,"Wed",30
"12773",153779965,"Thu",30
"12774",153779965,"Fri",60
"12775",153779965,"Sat",105
"12776",153779988,"Sun",55
"12777",153779988,"Mon",15
"12778",153779988,"Tue",40
"12779",153779988,"Wed",30
"12780",153779988,"Thu",20
"12781",153779988,"Fri",20
"12782",153779988,"Sat",80
"12783",153779989,"Sun",65
"12784",153779989,"Mon",15
"12785",153779989,"Tue",35
"12786",153779989,"Wed",40
"12787",153779989,"Thu",15
"12788",153779989,"Fri",25
"12789",153779989,"Sat",85
"12790",153779990,"Sun",65
"12791",153779990,"Mon",5
"12792",153779990,"Tue",35
"12793",153779990,"Wed",20
"12794",153779990,"Thu",10
"12795",153779990,"Fri",25
"12796",153779990,"Sat",100
"12797",153779991,"Sun",60
"12798",153779991,"Mon",20
"12799",153779991,"Tue",45
"12800",153779991,"Wed",40
"12801",153779991,"Thu",20
"12802",153779991,"Fri",25
"12803",153779991,"Sat",90
"12804",153779992,"Sun",165
"12805",153779992,"Mon",20
"12806",153779992,"Tue",100
"12807",153779992,"Wed",65
"12808",153779992,"Thu",50
"12809",153779992,"Fri",65
"12810",153779992,"Sat",230
"12811",153779993,"Sat",5
"12812",153779995,"Sun",60
"12813",153779995,"Mon",15
"12814",153779995,"Tue",35
"12815",153779995,"Wed",45
"12816",153779995,"Thu",15
"12817",153779995,"Fri",25
"12818",153779995,"Sat",70
"12819",153779996,"Sun",55
"12820",153779996,"Mon",10
"12821",153779996,"Tue",35
"12822",153779996,"Wed",45
"12823",153779996,"Thu",15
"12824",153779996,"Fri",15
"12825",153779996,"Sat",70
"12826",153779997,"Sun",60
"12827",153779997,"Mon",10
"12828",153779997,"Tue",30
"12829",153779997,"Wed",45
"12830",153779997,"Thu",15
"12831",153779997,"Fri",25
"12832",153779997,"Sat",70
"12833",153780001,"Sat",5
"12834",153780003,"Sat",5
"12835",153780007,"Sat",5
"12836",153780008,"Sun",165
"12837",153780008,"Mon",20
"12838",153780008,"Tue",100
"12839",153780008,"Wed",60
"12840",153780008,"Thu",45
"12841",153780008,"Fri",65
"12842",153780008,"Sat",225
"12843",153780010,"Sun",165
"12844",153780010,"Mon",20
"12845",153780010,"Tue",100
"12846",153780010,"Wed",60
"12847",153780010,"Thu",45
"12848",153780010,"Fri",65
"12849",153780010,"Sat",225
"12850",153780015,"Sun",165
"12851",153780015,"Mon",20
"12852",153780015,"Tue",100
"12853",153780015,"Wed",60
"12854",153780015,"Thu",40
"12855",153780015,"Fri",65
"12856",153780015,"Sat",215
"12857",153780016,"Sat",5
"12858",153780020,"Sun",65
"12859",153780020,"Mon",5
"12860",153780020,"Tue",5
"12861",153780020,"Thu",5
"12862",153780020,"Fri",5
"12863",153780020,"Sat",5
"12864",153780021,"Sun",165
"12865",153780021,"Mon",20
"12866",153780021,"Tue",100
"12867",153780021,"Wed",60
"12868",153780021,"Thu",45
"12869",153780021,"Fri",65
"12870",153780021,"Sat",230
"12871",153780022,"Sun",165
"12872",153780022,"Mon",20
"12873",153780022,"Tue",95
"12874",153780022,"Wed",60
"12875",153780022,"Thu",45
"12876",153780022,"Fri",65
"12877",153780022,"Sat",230
"12878",153780033,"Sun",165
"12879",153780033,"Mon",20
"12880",153780033,"Tue",95
"12881",153780033,"Wed",60
"12882",153780033,"Thu",45
"12883",153780033,"Fri",65
"12884",153780033,"Sat",230
"12885",153780041,"Sun",65
"12886",153780041,"Mon",5
"12887",153780041,"Tue",5
"12888",153780041,"Thu",5
"12889",153780041,"Fri",5
"12890",153780041,"Sat",5
