"","edgeuid","total_trips"
"685",153312553,30
"686",153312563,5
"687",153312565,10
"688",153312566,10
"689",153312567,15
"690",153312569,5
"691",153312570,10
"692",153312571,20
"693",153312572,20
"694",153312573,25
"695",153312574,15
"696",153312575,25
"697",153312576,30
"698",153312577,15
"699",153312578,15
"700",153312579,5
"701",153312580,10
"702",153312581,15
"703",153312582,10
"704",153312583,5
"705",153312584,15
"706",153312585,10
"707",153312587,30
"708",153319428,5
"709",153319564,5
"710",153319565,5
"711",153319566,15
"712",153319567,5
"713",153319942,5
"714",153319943,15
"715",153319944,5
"716",153319947,5
"717",153319953,15
"718",153319954,20
"719",153319955,5
"720",153319958,20
"721",153319961,5
"722",153319965,5
"723",153319966,5
"724",153320001,20
"725",153320002,20
"726",153320003,5
"727",153320004,5
"728",153320005,5
"729",153320008,5
"730",153320119,5
"731",153320124,5
"732",153320126,5
"733",153320135,10
"734",153320136,5
"735",153320137,5
"736",153320140,5
"737",153320147,5
"738",153320148,5
"739",153320149,5
"740",153320151,5
"741",153320155,10
"742",153320156,5
"743",153320190,10
"744",153320191,5
"745",153320192,5
"746",153320193,5
"747",153320197,5
"748",153327768,10
"749",153327779,15
"750",153327780,10
"751",153327783,10
"752",153327784,5
"753",153327785,5
"754",153327794,15
"755",153327801,15
"756",153327805,15
"757",153327808,15
"758",153327811,15
"759",153327813,15
"760",153327814,15
"761",153327816,15
"762",153327818,25
"763",153327940,100
"764",153327941,100
"765",153327945,100
"766",153328022,5
"767",153328030,105
"768",153328034,45
"769",153328037,45
"770",153328040,105
"771",153328043,105
"772",153328044,105
"773",153328045,105
"774",153328046,105
"775",153328048,45
"776",153328051,45
"777",153328053,10
"778",153328078,340
"779",153328081,100
"780",153328082,110
"781",153328083,10
"782",153328084,10
"783",153328087,95
"784",153328098,45
"785",153328100,95
"786",153328101,100
"787",153328102,35
"788",153328103,25
"789",153328104,25
"790",153328105,175
"791",153328106,45
"792",153328107,25
"793",153328108,75
"794",153328109,25
"795",153328124,10
"796",153328126,10
"797",153328131,10
"798",153328133,185
"799",153328134,30
"800",153328137,45
"801",153328138,30
"802",153328139,30
"803",153328140,70
"804",153328141,30
"805",153328143,5
"806",153328144,40
"807",153328145,5
"808",153328146,35
"809",153328153,35
"810",153328154,10
"811",153328155,40
"812",153328156,10
"813",153328157,10
"814",153328159,10
"815",153328161,40
"816",153328163,40
"817",153328164,70
"818",153328165,35
"819",153328167,40
"820",153328170,40
"821",153328171,45
"822",153328183,40
"823",153328184,40
"824",153328186,45
"825",153328188,45
"826",153328191,45
"827",153328192,45
"828",153328203,10
"829",153328204,10
"830",153328215,40
"831",153328217,55
"832",153328219,10
"833",153328223,10
"834",153328224,10
"835",153328226,10
"836",153328227,10
"837",153328267,45
"838",153328280,5
"839",153328282,5
"840",153328283,5
