"","edgeuid","month","total_trips"
"372",153311489,"June",25
"373",153311490,"June",30
"374",153311493,"June",20
"375",153311494,"June",20
"376",153311494,"September",60
"377",153311498,"June",20
"378",153311498,"September",55
"379",153311499,"June",75
"380",153311500,"June",75
"381",153311502,"June",75
"382",153311504,"June",75
"383",153311506,"June",75
"384",153311511,"June",75
"385",153311519,"June",5
"386",153311521,"June",5
"387",153311523,"June",5
"388",153311524,"June",5
"389",153311527,"June",5
"390",153311545,"June",10
"391",153311546,"June",75
"392",153311549,"June",75
"393",153311554,"June",80
"394",153311560,"June",80
"395",153311564,"June",80
"396",153311564,"September",55
"397",153311566,"June",60
"398",153311580,"June",60
"399",153311582,"June",60
"400",153311584,"June",60
"401",153311588,"June",60
"402",153311590,"June",5
"403",153311602,"June",15
"404",153311604,"June",15
"405",153311604,"September",10
"406",153311605,"June",10
"407",153311605,"September",10
"408",153311607,"June",15
"409",153311611,"June",10
"410",153311618,"June",10
"411",153311620,"June",10
"412",153311626,"June",10
"413",153311628,"June",10
"414",153311633,"June",15
"415",153311633,"September",10
"416",153311636,"June",10
"417",153311638,"June",15
"418",153311638,"September",10
"419",153311639,"June",15
"420",153311639,"September",5
"421",153311640,"June",15
"422",153311640,"September",10
"423",153311646,"June",15
"424",153311650,"June",15
"425",153311671,"June",5
"426",153311672,"June",5
"427",153311672,"September",25
"428",153311677,"June",5
"429",153311681,"June",5
"430",153311692,"June",10
"431",153311693,"June",10
"432",153311694,"June",10
"433",153311700,"June",10
"434",153311705,"June",10
"435",153311706,"June",10
"436",153311709,"June",10
"437",153311712,"June",10
"438",153311713,"June",10
"439",153311714,"June",10
"440",153311715,"June",10
"441",153311717,"June",10
"442",153311719,"June",10
"443",153311720,"June",5
"444",153311722,"June",25
"445",153311723,"June",30
"446",153311724,"June",35
"447",153311725,"June",30
"448",153311726,"June",35
"449",153311726,"September",55
"450",153311728,"June",35
"451",153311728,"September",50
"452",153311729,"June",70
"453",153311731,"June",60
"454",153311731,"September",115
"455",153311732,"June",65
"456",153311733,"June",70
"457",153311734,"June",70
"458",153311736,"June",40
"459",153311737,"June",15
"460",153311738,"June",85
"461",153311739,"June",40
"462",153311741,"June",85
"463",153311741,"September",50
"464",153311742,"June",85
"465",153311743,"June",85
"466",153311745,"June",10
"467",153311746,"June",5
"468",153311747,"June",85
"469",153311750,"June",35
"470",153311751,"June",40
"471",153311752,"June",40
"472",153311753,"September",10
"473",153311754,"September",10
"474",153311759,"June",35
"475",153311762,"June",35
"476",153311765,"June",35
"477",153311767,"June",35
"478",153311769,"June",5
"479",153311786,"June",5
"480",153311803,"June",5
"481",153311807,"June",5
"482",153311808,"June",5
"483",153311812,"June",5
"484",153311814,"June",5
"485",153311816,"June",5
"486",153311817,"June",5
"487",153311819,"June",85
"488",153311825,"June",5
"489",153311826,"June",5
"490",153311827,"June",10
"491",153311828,"June",5
"492",153311830,"June",15
"493",153311830,"September",10
"494",153311831,"June",5
"495",153311834,"September",10
"496",153311836,"June",20
"497",153311837,"June",15
"498",153311837,"September",15
"499",153311839,"June",20
"500",153311841,"June",20
"501",153311843,"June",20
"502",153311844,"June",15
"503",153311845,"June",15
"504",153311861,"June",5
"505",153311862,"June",5
"506",153311864,"June",80
"507",153311866,"June",80
"508",153311867,"June",80
"509",153311871,"June",5
"510",153311872,"June",5
"511",153311873,"June",80
"512",153311874,"June",5
"513",153311875,"June",85
"514",153311875,"September",55
"515",153311876,"June",5
"516",153311878,"June",5
"517",153311879,"June",5
"518",153311880,"June",85
"519",153311881,"June",5
"520",153311882,"June",5
"521",153311884,"June",85
"522",153311885,"June",5
"523",153311887,"June",5
"524",153311890,"June",10
"525",153311894,"June",5
"526",153311895,"June",10
"527",153311896,"June",5
"528",153311897,"June",5
"529",153311898,"June",5
"530",153311904,"June",20
"531",153311905,"June",20
"532",153311906,"September",5
"533",153311907,"June",5
"534",153311908,"June",5
"535",153311910,"June",5
"536",153311910,"September",35
"537",153311911,"June",20
"538",153311912,"June",5
"539",153311913,"June",5
"540",153311919,"June",95
"541",153311920,"June",5
"542",153311926,"June",5
"543",153311928,"June",5
"544",153311929,"June",5
"545",153311934,"June",95
"546",153311935,"June",95
"547",153311942,"June",50
"548",153311943,"June",50
"549",153311945,"June",45
"550",153311951,"June",45
"551",153311961,"June",15
"552",153311962,"June",15
"553",153311962,"September",10
"554",153311970,"June",15
"555",153311975,"June",15
"556",153311976,"June",10
"557",153311977,"June",10
"558",153311980,"June",10
"559",153311982,"June",5
"560",153311983,"June",15
"561",153311985,"June",5
"562",153311986,"June",5
"563",153311988,"June",15
"564",153311989,"June",10
"565",153311989,"September",5
"566",153311990,"June",15
"567",153311991,"June",5
"568",153311991,"September",10
"569",153312003,"June",5
"570",153312007,"June",5
"571",153312010,"June",5
"572",153312041,"June",5
"573",153312042,"June",5
"574",153312044,"June",5
"575",153312046,"June",15
"576",153312067,"June",15
"577",153312071,"June",15
"578",153312073,"June",5
"579",153312073,"September",45
"580",153312075,"June",20
"581",153312083,"June",10
"582",153312087,"June",5
"583",153312088,"June",10
"584",153312090,"June",5
"585",153312101,"June",20
"586",153312101,"September",80
"587",153312102,"June",20
"588",153312105,"June",30
"589",153312106,"June",45
"590",153312107,"June",30
"591",153312108,"June",10
"592",153312110,"June",70
"593",153312112,"June",10
"594",153312113,"June",10
"595",153312114,"June",10
"596",153312117,"June",55
"597",153312119,"June",5
"598",153312120,"June",10
"599",153312120,"September",5
"600",153312123,"June",5
"601",153312126,"June",15
"602",153312127,"June",15
"603",153312128,"September",5
"604",153312134,"June",5
"605",153312135,"June",55
"606",153312135,"September",30
"607",153312137,"June",5
"608",153312143,"June",55
"609",153312144,"June",55
"610",153312151,"June",15
"611",153312152,"June",15
"612",153312153,"June",5
"613",153312154,"June",5
"614",153312155,"June",55
"615",153312157,"June",20
"616",153312160,"June",5
"617",153312163,"June",50
"618",153312165,"June",55
"619",153312165,"September",30
"620",153312166,"June",55
"621",153312179,"June",55
"622",153312180,"June",55
"623",153312202,"June",5
"624",153312202,"September",5
"625",153312203,"September",5
"626",153312205,"June",5
"627",153312207,"June",5
"628",153312208,"June",5
"629",153312210,"June",5
"630",153312211,"June",5
"631",153312222,"June",5
"632",153312224,"June",5
"633",153312226,"June",5
"634",153312228,"June",5
"635",153312231,"June",5
"636",153312232,"June",10
"637",153312234,"June",5
"638",153312237,"June",10
"639",153312238,"June",5
"640",153312241,"June",5
"641",153312243,"June",5
"642",153312264,"June",10
"643",153312265,"June",15
"644",153312266,"June",20
"645",153312267,"June",60
"646",153312268,"June",55
"647",153312269,"June",10
"648",153312270,"June",60
"649",153312271,"June",45
"650",153312276,"June",60
"651",153312278,"June",60
"652",153312281,"June",50
"653",153312284,"June",85
"654",153312290,"June",90
"655",153312292,"June",85
"656",153312293,"June",95
"657",153312293,"September",230
"658",153312298,"June",10
"659",153312307,"June",90
"660",153312308,"June",90
"661",153312309,"June",95
"662",153312310,"June",90
"663",153312313,"June",90
"664",153312315,"June",10
"665",153312316,"June",90
"666",153312326,"June",55
"667",153312327,"September",45
"668",153312334,"June",55
"669",153312340,"June",50
"670",153312341,"June",55
"671",153312348,"June",55
"672",153312353,"June",5
"673",153312356,"June",5
"674",153312357,"June",5
"675",153312357,"September",5
"676",153312359,"September",5
"677",153312381,"June",55
"678",153312382,"June",55
"679",153312382,"September",30
"680",153312387,"June",55
"681",153312387,"September",30
"682",153312389,"June",55
"683",153312391,"June",55
"684",153312399,"June",55
"685",153312401,"June",55
"686",153312409,"June",45
"687",153312427,"June",5
"688",153312431,"June",10
"689",153312434,"June",10
"690",153312440,"June",5
"691",153312444,"June",5
"692",153312445,"June",5
"693",153312447,"June",5
"694",153312447,"September",5
"695",153312448,"June",5
"696",153312451,"June",5
"697",153312452,"June",10
"698",153312457,"June",5
"699",153312458,"June",5
"700",153312461,"June",5
"701",153312463,"June",5
"702",153312464,"June",5
"703",153312465,"June",5
"704",153312468,"June",10
"705",153312470,"June",10
"706",153312470,"September",5
"707",153312471,"June",10
"708",153312472,"June",5
"709",153312473,"June",5
"710",153312474,"June",15
"711",153312475,"June",25
"712",153312478,"June",10
"713",153312479,"June",10
"714",153312480,"June",10
"715",153312481,"June",10
"716",153312481,"September",5
"717",153312484,"June",10
"718",153312487,"June",10
"719",153312488,"June",10
"720",153312489,"June",10
"721",153312491,"June",30
"722",153312491,"September",25
"723",153312492,"June",5
"724",153312493,"June",15
"725",153312495,"September",5
"726",153312496,"June",5
"727",153312503,"June",15
"728",153312515,"June",5
"729",153312516,"June",10
"730",153312517,"June",10
"731",153312518,"June",10
"732",153312519,"June",10
"733",153312520,"June",10
"734",153312524,"June",10
"735",153312526,"June",10
"736",153312527,"June",20
"737",153312528,"June",5
"738",153312529,"June",15
"739",153312533,"June",20
"740",153312534,"June",15
"741",153312535,"June",5
"742",153312537,"June",10
"743",153312538,"June",10
"744",153312539,"June",10
"745",153312540,"June",20
"746",153312544,"June",35
"747",153312545,"June",5
"748",153312552,"June",10
"749",153312553,"June",30
"750",153312563,"June",5
"751",153312565,"June",10
"752",153312566,"June",10
"753",153312567,"June",10
"754",153312567,"September",5
"755",153312569,"June",5
"756",153312570,"June",10
"757",153312571,"June",15
"758",153312571,"September",5
"759",153312572,"June",20
"760",153312573,"June",15
"761",153312573,"September",10
"762",153312574,"June",15
"763",153312575,"June",15
"764",153312575,"September",10
"765",153312576,"June",30
"766",153312577,"June",15
"767",153312578,"June",15
"768",153312579,"June",5
"769",153312580,"June",10
"770",153312581,"June",15
"771",153312582,"June",10
"772",153312583,"June",5
"773",153312584,"June",15
"774",153312585,"June",10
"775",153312587,"June",30
"776",153319428,"September",5
"777",153319564,"June",5
"778",153319565,"June",5
"779",153319566,"June",5
"780",153319566,"September",10
"781",153319567,"June",5
"782",153319942,"June",5
"783",153319943,"June",5
"784",153319943,"September",10
"785",153319944,"June",5
"786",153319947,"June",5
"787",153319953,"June",5
"788",153319953,"September",10
"789",153319954,"June",5
"790",153319954,"September",15
"791",153319955,"June",5
"792",153319958,"June",5
"793",153319958,"September",15
"794",153319961,"June",5
"795",153319965,"June",5
"796",153319966,"June",5
"797",153320001,"June",5
"798",153320001,"September",15
"799",153320002,"June",5
"800",153320002,"September",15
"801",153320003,"June",5
"802",153320004,"June",5
"803",153320005,"June",5
"804",153320008,"June",5
"805",153320119,"September",5
"806",153320124,"September",5
"807",153320126,"June",5
"808",153320135,"June",5
"809",153320135,"September",5
"810",153320136,"June",5
"811",153320137,"June",5
"812",153320140,"June",5
"813",153320147,"June",5
"814",153320148,"June",5
"815",153320149,"September",5
"816",153320151,"September",5
"817",153320155,"June",5
"818",153320155,"September",5
"819",153320156,"June",5
"820",153320190,"June",5
"821",153320190,"September",5
"822",153320191,"June",5
"823",153320192,"June",5
"824",153320193,"June",5
"825",153320197,"June",5
"826",153327768,"June",10
"827",153327779,"June",10
"828",153327779,"September",5
"829",153327780,"June",10
"830",153327783,"June",10
"831",153327784,"June",5
"832",153327785,"June",5
"833",153327794,"June",15
"834",153327801,"June",15
"835",153327805,"June",15
"836",153327808,"June",15
"837",153327811,"June",15
"838",153327813,"June",15
"839",153327814,"June",15
"840",153327816,"June",15
"841",153327818,"June",10
"842",153327818,"September",15
"843",153327940,"June",100
"844",153327941,"June",100
"845",153327945,"June",100
"846",153328022,"June",5
"847",153328030,"June",105
"848",153328034,"June",45
"849",153328037,"June",45
"850",153328040,"June",105
"851",153328043,"June",105
"852",153328044,"June",105
"853",153328045,"June",105
"854",153328046,"June",105
"855",153328048,"June",45
"856",153328051,"June",45
"857",153328053,"June",10
"858",153328078,"June",105
"859",153328078,"September",235
"860",153328081,"June",100
"861",153328082,"June",110
"862",153328083,"June",10
"863",153328084,"June",10
"864",153328087,"June",95
"865",153328098,"June",45
"866",153328100,"June",25
"867",153328100,"September",70
"868",153328101,"June",100
"869",153328102,"June",35
"870",153328103,"June",25
"871",153328104,"June",25
"872",153328105,"June",45
"873",153328105,"September",130
"874",153328106,"June",45
"875",153328107,"June",25
"876",153328108,"June",25
"877",153328108,"September",50
"878",153328109,"June",25
"879",153328124,"June",10
"880",153328126,"June",10
"881",153328131,"June",10
"882",153328133,"June",50
"883",153328133,"September",135
"884",153328134,"June",30
"885",153328137,"June",45
"886",153328138,"June",30
"887",153328139,"June",30
"888",153328140,"June",45
"889",153328140,"September",25
"890",153328141,"June",30
"891",153328143,"June",5
"892",153328144,"June",40
"893",153328145,"June",5
"894",153328146,"June",35
"895",153328153,"June",35
"896",153328154,"June",10
"897",153328155,"June",40
"898",153328156,"June",10
"899",153328157,"June",10
"900",153328159,"June",10
"901",153328161,"June",40
"902",153328163,"June",40
"903",153328164,"June",40
"904",153328164,"September",30
"905",153328165,"June",35
"906",153328167,"June",40
"907",153328170,"June",40
"908",153328171,"June",45
"909",153328183,"June",40
"910",153328184,"June",40
"911",153328186,"June",45
"912",153328188,"June",45
"913",153328191,"June",45
"914",153328192,"June",45
"915",153328203,"June",10
"916",153328204,"June",10
"917",153328215,"June",40
"918",153328217,"June",55
"919",153328219,"June",10
"920",153328223,"June",10
"921",153328224,"June",10
"922",153328226,"June",10
"923",153328227,"June",10
"924",153328267,"June",45
"925",153328280,"June",5
"926",153328282,"June",5
"927",153328283,"June",5
"928",153328284,"June",5
"929",153328285,"September",15
"930",153328286,"June",5
"931",153328287,"June",5
"932",153328289,"June",5
"933",153328298,"June",5
"934",153328303,"June",5
"935",153328305,"June",5
"936",153328308,"June",5
"937",153328316,"June",45
"938",153328317,"June",45
"939",153328319,"June",40
"940",153328319,"September",20
"941",153328322,"June",40
"942",153328324,"June",40
"943",153328325,"June",45
"944",153328326,"June",45
"945",153328327,"June",45
"946",153328345,"June",45
"947",153328349,"June",45
"948",153328349,"September",25
"949",153328354,"June",40
"950",153328355,"June",10
"951",153328356,"June",10
"952",153328359,"June",45
"953",153328361,"June",45
"954",153328368,"June",45
"955",153328370,"June",45
"956",153328370,"September",25
"957",153328373,"June",40
"958",153328374,"June",5
"959",153328374,"September",5
"960",153328375,"June",40
"961",153328376,"June",45
"962",153328377,"June",55
"963",153328378,"June",45
"964",153328379,"June",55
"965",153328381,"June",45
"966",153328383,"June",40
"967",153328384,"June",40
"968",153328384,"September",20
"969",153328385,"June",40
"970",153328385,"September",20
"971",153328387,"June",40
"972",153328387,"September",20
"973",153328388,"June",45
"974",153328391,"June",40
"975",153328393,"June",40
"976",153328407,"June",5
