"","edgeuid","total_trips"
"186",153748843,60
"187",153748845,5
"188",153748848,5
"189",153748849,5
"190",153748851,60
"191",153748853,50
"192",153748859,155
"193",153748860,150
"194",153748861,150
"195",153748862,150
"196",153748863,145
"197",153748866,15
"198",153748870,220
"199",153748875,15
"200",153748877,5
"201",153748887,10
"202",153748891,15
"203",153748895,20
"204",153748896,5
"205",153748914,420
"206",153748915,420
"207",153748919,415
"208",153748922,415
"209",153748923,420
"210",153748925,5
"211",153748928,420
"212",153748934,420
"213",153748950,5
"214",153748951,55
"215",153748953,50
"216",153748955,5
"217",153748959,55
"218",153748960,525
"219",153748964,5
"220",153748966,10
"221",153748967,30
"222",153748969,30
"223",153748979,10
"224",153748986,5
"225",153748991,10
"226",153749006,20
"227",153749007,20
"228",153749008,5
"229",153749013,20
"230",153749015,20
"231",153749017,15
"232",153749018,5
"233",153749026,5
"234",153749027,5
"235",153749036,45
"236",153749037,40
"237",153749047,30
"238",153749049,30
"239",153749051,40
"240",153749072,10
"241",153749076,10
"242",153749115,5
"243",153749121,5
"244",153749129,2710
"245",153749135,755
"246",153749137,255
"247",153749141,5
"248",153749142,5
"249",153749143,5
"250",153749144,5
"251",153749156,5
"252",153749166,5
"253",153749167,5
"254",153749186,15
"255",153749190,15
"256",153749357,10
"257",153749358,15
"258",153749359,20
"259",153749360,10
"260",153749361,5
"261",153749362,5
"262",153749364,5
"263",153749430,20
"264",153749445,5
"265",153749448,10
"266",153749455,10
"267",153749456,10
"268",153749457,10
"269",153749578,5
"270",153749630,5
"271",153749632,5
"272",153749673,5
"273",153749677,5
"274",153749681,5
"275",153749715,90
"276",153749752,5
"277",153749754,5
"278",153749793,10
"279",153749870,210
"280",153749891,225
"281",153749945,20
"282",153749946,20
"283",153749947,15
"284",153749950,15
"285",153749951,15
"286",153749953,15
"287",153749955,10
"288",153749956,15
"289",153749957,15
"290",153749961,10
"291",153749963,10
"292",153749965,10
"293",153749968,5
"294",153749972,20
"295",153749973,5
"296",153749999,20
"297",153750103,5
"298",153750119,20
"299",153750120,20
"300",153750130,10
"301",153750167,90
"302",153750168,95
"303",153750174,35
"304",153750179,90
"305",153750181,80
"306",153750217,5
"307",153750221,5
"308",153750222,5
"309",153750225,5
"310",153750226,5
"311",153750227,5
"312",153750228,5
"313",153750230,5
"314",153750231,5
"315",153750238,5
"316",153750240,5
"317",153750242,5
"318",153750243,5
"319",153750245,5
"320",153750258,5
"321",153750259,5
"322",153750263,10
"323",153750264,235
"324",153750265,10
"325",153750266,230
"326",153750267,220
"327",153750280,5
"328",153750284,5
"329",153750286,205
"330",153750287,205
"331",153750288,205
"332",153750290,205
"333",153750291,205
"334",153750292,270
"335",153750296,5
"336",153750297,15
"337",153750298,240
"338",153750301,200
"339",153750302,1325
"340",153750303,125
"341",153750305,1555
"342",153750306,1580
"343",153750307,1500
"344",153750310,1425
"345",153750314,1355
"346",153750317,230
"347",153750319,915
"348",153750320,1365
"349",153750321,1390
"350",153750322,235
"351",153750323,1315
"352",153750324,440
"353",153750325,900
"354",153750327,910
"355",153750329,1340
"356",153750330,450
"357",153750336,455
"358",153750337,450
"359",153750338,100
"360",153750339,185
"361",153750340,35
"362",153750341,45
"363",153750342,315
"364",153750343,310
"365",153750344,5
"366",153750345,175
"367",153750346,10
"368",153750347,165
"369",153750348,90
"370",153750350,130
"371",153750351,70
"372",153750352,55
"373",153750353,25
"374",153750354,365
"375",153750355,255
"376",153750357,25
"377",153750358,5
"378",153750359,190
"379",153750360,255
"380",153750361,155
"381",153750362,40
"382",153750363,185
"383",153750364,60
"384",153750365,20
"385",153750366,275
"386",153750368,5
"387",153750369,385
"388",153750370,385
"389",153750371,255
"390",153750372,145
"391",153750373,25
"392",153750374,85
"393",153750375,10
"394",153750376,270
"395",153750377,440
"396",153750441,940
"397",153750443,1000
"398",153750474,915
"399",153750475,910
"400",153750476,915
"401",153750492,1435
"402",153750552,15
"403",153750556,15
"404",153750563,5
"405",153750567,5
"406",153750581,5
"407",153750634,160
"408",153750635,445
"409",153750636,100
"410",153750637,320
"411",153750639,80
"412",153750640,5
"413",153750641,170
"414",153750642,185
"415",153750643,230
"416",153750644,95
"417",153750645,45
"418",153750646,15
"419",153750647,285
"420",153750648,475
"421",153750650,90
"422",153750651,375
"423",153750652,220
"424",153750659,50
"425",153750660,5
"426",153750661,820
"427",153750662,340
"428",153750663,150
"429",153750664,345
"430",153750665,345
"431",153750666,825
"432",153750669,345
"433",153750670,340
"434",153750671,330
"435",153750674,330
"436",153750683,840
"437",153750688,5620
"438",153750689,5630
"439",153750690,5580
"440",153750698,285
"441",153750699,835
"442",153750703,250
"443",153750704,1435
"444",153750740,835
"445",153750742,5520
"446",153750751,5555
"447",153750754,5015
"448",153750756,7830
"449",153750758,300
"450",153750760,1130
"451",153750763,5545
"452",153750766,295
"453",153750767,1140
"454",153750772,300
